,precision,recall,f1-score,support
Low Mood,0.8,0.8,0.8,10.0
Positive,0.38461538461538464,1.0,0.5555555555555556,10.0
Warmth,1.0,0.4,0.5714285714285714,10.0
Frustration,0.9090909090909091,1.0,0.9523809523809523,10.0
Worry,1.0,0.9,0.9473684210526315,10.0
Neutral,0.0,0.0,0.0,10.0
accuracy,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333
macro avg,0.6822843822843824,0.6833333333333335,0.6377889167362851,60.0
weighted avg,0.6822843822843823,0.6833333333333333,0.6377889167362851,60.0
