,precision,recall,f1-score,support
Low Mood,0.75,0.6,0.6666666666666666,10.0
Positive,0.625,1.0,0.7692307692307693,10.0
Warmth,1.0,0.2,0.3333333333333333,10.0
Frustration,1.0,0.9,0.9473684210526315,10.0
Worry,1.0,0.8,0.8888888888888888,10.0
Neutral,0.5294117647058824,0.9,0.6666666666666666,10.0
accuracy,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,0.8174019607843137,0.7333333333333334,0.7120257909731594,60.0
weighted avg,0.8174019607843138,0.7333333333333333,0.7120257909731593,60.0
